name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00095863,32.8753,-82.2156,PRCP,1957,2020,4739.906478886638,5.54375026770367,38.8590694748864,51.1,71.06,95.3,208.0,137.7000000000001,133
USC00096087,31.1769,-83.7492,PRCP,1926,2020,5041.53249150601,5.89652922983159,34.97824497897529,41.839145213823656,75.37999999999998,88.37999999999995,167.1,143.19800000000015,155
USC00097087,32.0467,-84.3711,PRCP,1956,2020,4919.335621115455,5.753608913585327,33.59301741301037,37.546039256435904,64.24000000000012,99.1,429.3,129.754,135
USC00097777,32.9744,-82.8045,PRCP,1914,2020,4781.879199364028,5.5928411688468165,35.158268434690385,50.39867754910076,78.06999999999996,102.725,190.0,130.03300000000002,128
USC00098535,32.6864,-84.5208,PRCP,1893,2020,3506.930777498111,4.101673423974399,35.24249479102427,39.924417839046484,71.14,86.06999999999998,172.7,119.38800000000003,103
USC00098703,31.4461,-83.4767,PRCP,1911,2020,4695.399944949106,5.491695842045738,33.20998558523578,36.2984608274625,48.64000000000001,69.38000000000007,149.1,114.00199999999997,163
USC00099157,33.7264,-82.7058,PRCP,1893,2020,4228.545337357929,4.945667061237344,40.61033187855173,53.3,70.47807659882493,92.65,118.9,109.05,116
USC00099194,33.0714,-82.0072,PRCP,1892,2020,3863.8307988149536,4.519100349491174,37.4,50.96,62.68000000000002,89.21999999999998,154.9,115.13799999999999,115
USC00160007,29.9689,-92.1169,PRCP,1891,2020,6063.667163618972,7.092008378501721,33.53323747284357,47.12000000000002,90.58000000000014,122.05000000000001,208.3,167.7659999999998,159
USC00160098,31.3206,-92.4611,PRCP,1892,2020,4560.15461883736,5.333514174078784,36.7,50.0,79.65,95.35,254.0,135.375,126
USC00160565,30.1328,-91.3228,PRCP,1969,2020,5464.050603036526,6.390702459691843,33.93142663134129,39.82000000000001,61.0,88.58,153.7,126.91599999999998,169
USC00161287,30.9594,-92.1786,PRCP,1956,2020,5295.066889624566,6.193060689619376,36.26,47.04,90.40000000000003,117.43999999999994,214.4,192.04799999999994,135
